"","V1","V2"
"167",1,0.6
"168",1,1.4
"169",1,0.9
"170",1,1.4
"171",1,0.55
"172",1,1.8
"173",1,1.6
"174",1,1.4
"175",1,0.85
"176",1,1.25
"177",1,0.45
"178",1,1.95
"179",1,1.2
"180",1,1.85
"181",1,0.4
"182",1,1.55
"183",1,1.7
"184",1,1.75
"185",1,1.5
"186",1,0.65
"187",1,1.6
"188",1,1.8
"189",1,1.05
"190",1,0.6
"191",1,0.05
"192",1,1.95
"193",1,1
"194",1,1.05
"195",1,1.5
"196",1,1.75
"197",1,1.7
"198",1,1.05
"199",1,1.7
"200",1,0.1
"201",1,1.1
"202",1,1.1
"203",1,1.3
"204",1,1.05
"205",1,0.45
"206",1,1
"207",1,0.8
"208",1,1.3
"209",1,1.6
"210",1,1.1
"211",1,1.95
"212",1,0.8
"213",1,1.75
"214",1,0.4
"215",1,0.65
"216",1,0.8
"217",1,0.5
"218",1,0.1
"219",1,1.2
"220",1,0.4
"221",1,0.5
"222",1,1.1
"223",1,1.1
"224",1,0.55
"225",1,0.5
"226",1,0.3
"227",1,1.65
"228",1,1.9
"229",1,1.95
"230",1,1.25
"231",1,1.4
"232",1,1.5
"233",1,0.35
"234",1,1
"235",1,1.7
"236",1,0.25
"237",1,1.1
"238",1,0.9
"239",1,1.25
"240",1,1.1
"241",1,0.95
"242",1,0.6
"243",1,1.85
"244",1,1.15
"245",1,1.3
"246",1,0.3
"247",1,1.3
"248",1,1.2
"249",1,0.7
"250",1,1.6
"251",1,1.3
"252",1,0.05
"253",1,0.15
"254",1,1.7
"255",1,0.15
"256",1,0.1
"257",1,1.9
"258",1,1.35
"259",1,0.6
"260",1,1.15
"261",1,1.25
"262",1,1.7
"263",1,0.65
"264",1,1.2
"265",1,0.45
"266",1,1.3
"267",1,0.8
"268",1,0.6
"269",1,1.45
"270",1,1.55
"271",1,1.5
"272",1,1.45
"273",1,0.05
"274",1,1.75
"275",1,1.1
"276",1,0.5
"277",1,0.7
"278",1,1.45
"279",1,0.75
"280",1,1.5
"281",1,1.5
"282",1,1.45
"283",1,1.45
"284",1,1.2
"285",1,1.65
"286",1,1.6
"287",1,1.85
"288",1,1.35
"289",1,1.8
"290",1,1
"291",1,0.15
"292",1,0.6
"293",1,1.3
"294",1,1.35
"295",1,0.2
"296",1,1.65
"297",1,1.1
"298",1,1.15
"299",1,1.85
"300",1,0.1
"301",1,0.4
"302",1,1.45
"303",1,1.6
"304",1,1.95
"305",1,0.2
"306",1,0.95
"307",1,0.05
"308",1,1.05
"309",1,1.25
"310",1,1.95
"311",1,0.2
"312",1,1
"313",1,0.65
"314",1,1.6
"315",1,1.45
"316",1,0.75
"317",1,1.5
"318",1,0.05
"319",1,0.75
"320",1,0.55
"321",1,0.7
"322",1,0.2
"323",1,1.8
"324",1,1.85
"325",1,1.6
"326",1,0.4
"327",1,0.4
"328",1,1.2
"329",1,0.9
"330",1,0.75
"331",1,0.25
"332",1,1.3
"333",1,1.55
"334",1,0.5
"335",1,1.1
"336",1,1.9
"337",1,0.45
"338",1,1
"339",1,0.6
"340",1,0.2
"341",1,0.65
"342",1,0.25
"343",1,1.75
"344",1,2
"345",1,1.25
"346",1,0.1
"347",1,0.35
"348",1,0.45
"349",1,1.75
"350",1,0.25
"351",1,1.95
"352",1,0.8
"353",1,0.9
"354",1,1.75
"355",1,0.35
"356",1,1.9
"357",1,1.05
"358",1,0.95
"359",1,0.15
"360",1,0.35
"361",1,0.8
"362",1,0.9
"363",1,2
"364",1,0.1
"365",1,1.75
"366",1,0.55
"367",1,0.8
"368",1,0.05
"369",1,0.5
"370",1,1
"371",1,0.15
"372",1,1.2
"373",1,0.35
"374",1,1.05
"375",1,1.55
"376",1,1.1
"377",1,0.15
"378",1,1.4
"379",1,1.25
"380",1,0.9
"381",1,0.35
"382",1,1.2
"383",1,0.7
"384",1,1.85
"385",1,0.15
"386",1,1.15
"387",1,1
"388",1,0.85
"389",1,1.9
"390",1,0.45
"391",1,0.9
"392",1,0.7
"393",1,1.85
"394",1,1.1
"395",1,0.4
"396",1,0.6
"397",1,1.65
"398",1,0.05
"399",1,0.4
"400",1,1.75
"401",1,1.6
"402",1,0.55
"403",1,0.85
"404",1,0.45
"405",1,0.45
"406",1,1.25
"407",1,1.45
"408",1,1.85
"409",1,1.9
"410",1,0.8
"411",1,1.85
"412",1,1.05
"413",1,1.75
"414",1,1.45
"415",1,0.6
"416",1,0.85
"417",1,1.05
"418",1,1.3
"419",1,1
"420",1,0.8
"421",1,0.75
"422",1,1.15
"423",1,1.85
"424",1,0.85
"425",1,0.5
"426",1,1.45
"427",1,1.85
"428",1,1.45
"429",1,0.85
"430",1,1.85
"431",1,1.4
"432",1,0.55
"433",1,0.3
"434",1,0.7
"435",1,1.35
"436",1,0.35
"437",1,1.35
"438",1,0.9
"439",1,0.4
"440",1,1.2
"441",1,0.5
"442",1,0.35
"443",1,1.25
"444",1,0.7
"445",1,0.05
"446",1,1.95
"447",1,2
"448",1,1
"449",1,0.05
"450",1,1.5
"451",1,1.1
"452",1,1.6
"453",1,1.8
"454",1,0.95
"455",1,0.8
"456",1,0.6
"457",1,1.95
"458",1,0.45
"459",1,0.15
"460",1,1.2
"461",1,0.6
"462",1,0.75
"463",1,1.3
"464",1,0.25
"465",1,0.5
"466",1,1
"467",1,0.45
"468",1,0.85
"469",1,1.15
"470",1,1.75
"471",1,1.8
"472",1,1.55
"473",1,1.3
"474",1,1.75
"475",1,0.35
"476",1,1.35
"477",1,1.05
"478",1,0.7
"479",1,1.5
"480",1,0.75
"481",1,1.1
"482",1,1.95
"483",1,0.95
"484",1,0.95
"485",1,1.35
"486",1,1.55
"487",1,1.2
"488",1,0.75
"489",1,0.15
"490",1,0.8
"491",1,1.35
"492",1,0.3
"493",1,1.15
"494",1,1.5
"495",1,1.15
"496",1,1
"497",1,0.45
"498",1,0.2
"499",1,0.1
"500",1,1.25
"501",1,1.75
"502",1,0.9
"503",1,1
"504",1,1.25
"505",1,1.85
"506",1,1.3
"507",1,1.5
"508",1,1.55
"509",1,1.95
"510",1,0.55
"511",1,1.75
"512",1,1.6
"513",1,0.85
"514",1,1.95
"515",1,0.15
"516",1,1.65
"517",1,0.75
"518",1,1.7
"519",1,0.85
"520",1,1.95
"521",1,1.45
"522",1,1
"523",1,1.4
"524",1,1.25
"525",1,1.35
"526",1,1.5
"527",1,0.55
"528",1,1.4
"529",1,1.9
"530",1,0.5
"531",1,1.35
"532",1,0.7
"533",1,0.15
"534",1,1.25
"535",1,1.85
"536",1,0.5
"537",1,1.1
"538",1,0.3
"539",1,1.45
"540",1,1.25
"541",1,1.75
"542",1,0.7
"543",1,1.9
"544",1,1.15
"545",1,0.15
"546",1,0.1
"547",1,1.8
"548",1,1.35
"549",1,1.8
"550",1,0.25
"551",1,1.1
"552",1,1.9
"553",1,0.65
"554",1,2
"555",1,1.2
"556",1,1.65
"557",1,0.65
"558",1,1.7
"559",1,1.15
"560",1,1.5
"561",1,0.05
"562",1,0.7
"563",1,1.7
"564",1,1.55
"565",1,1.7
"566",1,1
"567",1,0.85
"568",1,1.15
"569",1,0.05
"570",1,1.3
"571",1,1.6
"572",1,1.4
"573",1,1.75
"574",1,1.7
"575",1,1.5
"576",1,0.35
"577",1,0.75
"578",1,1.55
"579",1,1.45
"580",1,0.95
"581",1,1.95
"582",1,1.9
"583",1,0.95
"584",1,0.35
"585",1,0.25
"586",1,0.2
"587",1,0.25
"588",1,1.75
"589",1,0.15
"590",1,0.95
"591",1,0.85
"592",1,1.4
"593",1,0.1
"594",1,0.75
"595",1,1.2
"596",1,0.75
"597",1,0.3
"598",1,0.45
"599",1,1.75
"600",1,0.3
"601",1,1.95
"602",1,1
"603",1,1.65
"604",1,0.65
"605",1,0.45
"606",1,1.05
"607",1,0.15
"608",1,1.8
"609",1,0.4
"610",1,2
"611",1,1.9
"612",1,1.3
"613",1,0.75
"614",1,0.5
"615",1,0.25
"616",1,1.2
"617",1,0.15
"618",1,1.7
"619",1,1.65
"620",1,0.25
"621",1,0.85
"622",1,0.05
"623",1,1.8
"624",1,1.35
"625",1,1.65
"626",1,1.5
"627",1,0.75
"628",1,1.2
"629",1,0.7
"630",1,0.85
"631",1,0.35
"632",1,1.75
"633",1,0.95
"634",1,0.3
"635",1,1.7
"636",1,1.6
"637",1,0.85
"638",1,2
"639",1,1.35
"640",1,1
"641",1,0.5
"642",1,0.35
"643",1,0.75
"644",1,1.05
"645",1,0.5
"646",1,0.1
"647",1,0.45
"648",1,0.85
"649",1,1.35
"650",1,0.65
"651",1,1.15
"652",1,0.15
"653",1,1.1
"654",1,2
"655",1,1.45
"656",1,1.8
"657",1,1.45
"658",1,1.9
"659",1,0.55
"660",1,0.65
"661",1,1.95
"662",1,1.8
"663",1,0.6
"664",1,1.2
"665",1,0.95
"666",1,0.5
"667",1,1.4
"668",1,0.65
"669",1,1
"670",1,1.8
"671",1,1.4
"672",1,0.3
"673",1,0.3
"674",1,1.75
"675",1,0.4
"676",1,0.6
"677",1,1.1
"678",1,1.75
"679",1,0.85
"680",1,1.2
"681",1,1.65
"682",1,0.05
"683",1,1.1
"684",1,0.7
"685",1,1.8
"686",1,1.45
"687",1,2
"688",1,0.4
"689",1,1.6
"690",1,0.1
"691",1,0.65
"692",1,1
"693",1,0.1
"694",1,0.2
"695",1,1.5
"696",1,1.2
"697",1,1.7
"698",1,1.25
"699",1,1.75
"700",1,1.3
"701",1,1
"702",1,1.65
"703",1,1.7
"704",1,1.55
"705",1,1.1
"706",1,0.45
"707",1,0.95
"708",1,1.9
"709",1,0.1
"710",1,0.45
"711",1,0.5
"712",1,1.05
"713",1,0.55
"714",1,0.4
"715",1,1
"716",1,1.15
"717",1,1.65
"718",1,1.45
"719",1,1.8
"720",1,1.25
"721",1,1.6
"722",1,0.55
"723",1,1.95
"724",1,1.15
"725",1,0.3
"726",1,0.7
"727",1,0.95
"728",1,1.1
"729",1,1.7
"730",1,0.75
"731",1,1.75
"732",1,0.15
"733",1,0.5
"734",1,0.1
"735",1,0.2
"736",1,1.7
"737",1,1.8
"738",1,1.15
"739",1,1.85
"740",1,1.7
"741",1,1.4
"742",1,0.7
"743",1,0.6
"744",1,1.35
"745",1,0.3
"746",1,1.1
"747",1,0.85
"748",1,0.05
"749",1,1.35
"750",1,1.4
"751",1,0.05
"752",1,0.5
"753",1,0.6
"754",1,0.85
"755",1,0.75
"756",1,0.4
"757",1,1.4
"758",1,0.95
"759",1,0.3
"760",1,1.55
"761",1,1.25
"762",1,0.35
"763",1,1.35
"764",1,0.25
"765",1,1.85
"766",1,0.95
"767",1,0.15
"768",1,1.2
"769",1,0.35
"770",1,1.85
"771",1,0.3
"772",1,1.75
"773",1,0.5
"774",1,0.6
"775",1,1
"776",1,0.15
"777",1,0.75
"778",1,0.9
"779",1,0.15
"780",1,0.45
"781",1,0.15
"782",1,1.6
"783",1,0.05
"784",1,1.2
"785",1,0.2
"786",1,1.5
"787",1,1.85
"788",1,0.95
"789",1,1.8
"790",1,1.3
"791",1,0.2
"792",1,1.2
"793",1,1.2
"794",1,0.2
"795",1,2
"796",1,1.8
"797",1,1.35
"798",1,1.05
"799",1,1.9
"800",1,1.75
"801",1,0.85
"802",1,0.4
"803",1,1.2
"804",1,0.25
"805",1,1.65
"806",1,0.3
"807",1,0.4
"808",1,1.05
"809",1,0.45
"810",1,0.45
"811",1,2
"812",1,0.75
"813",1,0.6
"814",1,0.8
"815",1,0.75
"816",1,1.9
"817",1,1.95
"818",1,1.1
"819",1,1.6
"820",1,1.65
"821",1,0.25
"822",1,1.1
"823",1,1.15
"824",1,1.4
"825",1,1.25
"826",1,0.9
"827",1,0.4
"828",1,0.2
"829",1,1.3
"830",1,1.5
"831",1,1
"832",1,1.85
"833",1,1.5
"834",1,0.05
"835",1,1.45
"836",1,1.4
"837",1,1.7
"838",1,2
"839",1,1
"840",1,0.85
"841",1,1.2
"842",1,1
"843",1,1.85
"844",1,1.05
"845",1,1
"846",1,1.25
"847",1,1.5
"848",1,0.45
"849",1,0.35
"850",1,1.1
"851",1,1.4
"852",1,1.8
"853",1,1.85
"854",1,1.3
"855",1,1.15
"856",1,0.55
"857",1,0.2
"858",1,1.35
"859",1,0.95
"860",1,0.6
"861",1,1.65
"862",1,1.2
"863",1,1.15
"864",1,1.65
"865",1,1.55
"866",1,1.05
"867",1,0.8
"868",1,0.55
"869",1,0.4
"870",1,0.8
"871",1,1.7
"872",1,1.25
"873",1,1.75
"874",1,0.45
"875",1,1.95
"876",1,1.8
"877",1,1.35
"878",1,2
"879",1,1.85
"880",1,0.85
"881",1,0.3
"882",1,1.55
"883",1,0.15
"884",1,1.85
"885",1,1.25
"886",1,0.5
"887",1,1.3
"888",1,0.25
"889",1,1.45
"890",1,0.3
"891",1,0.6
"892",1,0.1
"893",1,1.05
"894",1,0.45
"895",1,1.9
"896",1,0.35
"897",1,0.45
"898",1,1.4
"899",1,1.85
"900",1,0.9
"901",1,0.65
"902",1,0.15
"903",1,1.15
"904",1,2
"905",1,1.35
"906",1,0.45
"907",1,1.4
"908",1,0.95
"909",1,0.9
"910",1,0.55
"911",1,0.4
"912",1,0.95
"913",1,0.4
"914",1,0.35
"915",1,0.3
"916",1,2
"917",1,0.65
"918",1,1.4
"919",1,0.25
"920",1,1.4
"921",1,1.25
"922",1,0.15
"923",1,1.35
"924",1,1.55
"925",1,0.35
"926",1,1.15
"927",1,1.7
"928",1,1.1
"929",1,0.7
"930",1,0.95
"931",1,0.65
"932",1,0.85
"933",1,0.9
"934",1,0.2
"935",1,1.5
"936",1,1
"937",1,1.1
"938",1,1.8
"939",1,0.95
"940",1,1.6
"941",1,0.5
"942",1,1.9
"943",1,0.75
"944",1,0.8
"945",1,0.75
"946",1,1.3
"947",1,1.3
"948",1,0.8
"949",1,1.55
"950",1,0.75
"951",1,1.8
"952",1,1.25
"953",1,0.05
"954",1,1.05
"955",1,1.6
"956",1,1.5
"957",1,0.45
"958",1,1.6
"959",1,1.3
"960",1,1.8
"961",1,1.7
"962",1,1.15
"963",1,1.1
"964",1,1.5
"965",1,0.3
"966",1,0.4
"967",1,0.15
"968",1,1.85
"969",1,0.05
"970",1,1
"971",1,0.75
"972",1,0.65
"973",1,1.4
"974",1,1.5
"975",1,1.95
"976",1,1.35
"977",1,1.1
"978",1,0.15
"979",1,0.9
"980",1,0.35
"981",1,1.45
"982",1,0.7
"983",1,1
"984",1,1.55
"985",1,0.3
"986",1,0.85
"987",1,0.7
"988",1,0.35
"989",1,1.85
"990",1,1.3
"991",1,1.9
"992",1,0.45
"993",1,0.15
"994",1,0.4
"995",1,0.15
"996",1,0.15
"997",1,0.25
"998",1,1
"999",1,1.25
"1000",1,1.15
"1001",1,0.1
"1002",1,1.45
"1003",1,0.1
"1004",1,1.45
"1005",1,0.9
"1006",1,0.25
"1007",1,1.15
"1008",1,0.25
"1009",1,1.05
"1010",1,0.1
"1011",1,1.9
"1012",1,0.9
"1013",1,0.55
"1014",1,1.3
"1015",1,1.05
"1016",1,0.75
"1017",1,1.4
"1018",1,0.65
"1019",1,0.65
"1020",1,0.2
"1021",1,1.6
"1022",1,0.3
"1023",1,0.9
"1024",1,1.55
"1025",1,0.1
"1026",1,0.4
"1027",1,1.5
"1028",1,0.65
"1029",1,1.75
"1030",1,0.5
"1031",1,0.45
"1032",1,0.75
"1033",1,0.45
"1034",1,1.95
"1035",1,0.3
"1036",1,0.5
"1037",1,1.85
"1038",1,0.85
"1039",1,0.2
"1040",1,0.55
"1041",1,0.3
"1042",1,1.45
"1043",1,0.05
"1044",1,0.6
"1045",1,1.2
"1046",1,0.4
"1047",1,1.5
"1048",1,1.45
"1049",1,0.6
"1050",1,0.65
"1051",1,1.5
"1052",1,1
"1053",1,1.4
"1054",1,1.7
"1055",1,0.55
"1056",1,0.8
"1057",1,1.95
"1058",1,1.45
"1059",1,1.7
"1060",1,0.5
"1061",1,1
"1062",1,1.35
"1063",1,0.15
"1064",1,1.45
"1065",1,0.35
"1066",1,1.9
"1067",1,0.7
"1068",1,0.95
"1069",1,0.4
"1070",1,0.55
"1071",1,1.5
"1072",1,1.7
"1073",1,1.85
"1074",1,0.1
"1075",1,0.05
"1076",1,1.15
"1077",1,1.9
"1078",1,1.2
"1079",1,0.45
"1080",1,1.1
"1081",1,0.2
"1082",1,1.35
"1083",1,1.65
"1084",1,1.1
"1085",1,1.35
"1086",1,0.85
"1087",1,0.65
"1088",1,1.9
"1089",1,0.7
"1090",1,0.2
"1091",1,1.2
"1092",1,1.2
"1093",1,1.15
"1094",1,1.05
"1095",1,0.9
"1096",1,0.85
"1097",1,1.65
"1098",1,1.3
"1099",1,0.3
"1100",1,0.8
"1101",1,1.1
"1102",1,1.8
"1103",1,0.75
"1104",1,1.2
"1105",1,1
"1106",1,0.15
"1107",1,1.55
"1108",1,1.15
"1109",1,0.4
"1110",1,1.4
"1111",1,1.75
"1112",1,0.5
"1113",1,1.35
"1114",1,1.6
"1115",1,1.75
"1116",1,2
"1117",1,0.55
"1118",1,0.15
"1119",1,1.5
"1120",1,0.4
"1121",1,1.85
"1122",1,1.55
"1123",1,0.3
"1124",1,0.1
"1125",1,1.95
"1126",1,1.65
"1127",1,1
"1128",1,1.3
"1129",1,1.6
"1130",1,0.5
"1131",1,0.6
"1132",1,1
"1133",1,1.1
"1134",1,1.3
"1135",1,0.8
"1136",1,0.3
"1137",1,0.75
"1138",1,1.65
"1139",1,1.8
"1140",1,0.5
"1141",1,1.2
"1142",1,0.75
"1143",1,1.25
"1144",1,1.2
"1145",1,1.15
"1146",1,0.95
"1147",1,1.9
"1148",1,0.8
"1149",1,1.45
"1150",1,1.95
"1151",1,0.85
"1152",1,1.35
"1153",1,2
"1154",1,0.9
"1155",1,0.3
"1156",1,0.85
"1157",1,0.4
"1158",1,0.2
"1159",1,1.45
"1160",1,1.3
"1161",1,0.9
"1162",1,1
"1163",1,0.7
"1164",1,0.55
"1165",1,1.4
"1166",1,1.3
"1167",1,1.1
"1168",1,0.75
"1169",1,1.2
"1170",1,1.55
"1171",1,1.6
"1172",1,0.85
"1173",1,1.75
"1174",1,1.55
"1175",1,1.9
"1176",1,1.2
"1177",1,0.4
"1178",1,0.75
"1179",1,1.65
"1180",1,1.55
"1181",1,0.1
"1182",1,1.05
"1183",1,1.15
"1184",1,2
"1185",1,1.3
"1186",1,0.5
"1187",1,0.8
"1188",1,1.5
"1189",1,1.75
"1190",1,1.15
"1191",1,1.55
"1192",1,1.4
"1193",1,0.75
"1194",1,0.3
"1195",1,0.5
"1196",1,1.3
"1197",1,0.25
"1198",1,0.15
"1199",1,0.2
"1200",1,1.55
"1201",1,0.9
"1202",1,1.95
"1203",1,1.55
"1204",1,1.95
"1205",1,1.75
"1206",1,0.9
"1207",1,1.55
"1208",1,0.65
"1209",1,0.1
"1210",1,1.45
"1211",1,0.75
"1212",1,0.15
"1213",1,1.65
"1214",1,1.6
"1215",1,0.45
"1216",1,1.35
"1217",1,1.75
"1218",1,0.5
"1219",1,1.1
"1220",1,0.75
"1221",1,0.5
"1222",1,1.85
"1223",1,0.6
"1224",1,0.2
"1225",1,1
"1226",1,0.2
"1227",1,0.45
"1228",1,1.1
"1229",1,0.3
"1230",1,0.15
"1231",1,0.05
"1232",1,1.55
"1233",1,0.45
"1234",1,0.8
"1235",1,1
"1236",1,1.8
"1237",1,0.25
"1238",1,1.05
"1239",1,0.15
"1240",1,0.7
"1241",1,1.05
"1242",1,0.45
"1243",1,1
"1244",1,0.35
"1245",1,0.75
"1246",1,1.05
"1247",1,0.55
"1248",1,1.15
"1249",1,0.7
"1250",1,0.1
"1251",1,1.35
"1252",1,0.45
"1253",1,0.8
"1254",1,1.15
"1255",1,1.2
"1256",1,1.8
"1257",1,0.75
"1258",1,0.1
"1259",1,1.4
"1260",1,1.7
"1261",1,1.25
"1262",1,1.05
"1263",1,1.5
"1264",1,0.45
"1265",1,0.4
"1266",1,1.35
"1267",1,0.65
"1268",1,0.5
"1269",1,0.4
"1270",1,1
"1271",1,0.05
"1272",1,0.5
"1273",1,0.25
"1274",1,1.6
"1275",1,1.85
"1276",1,0.3
"1277",1,1.75
"1278",1,0.65
"1279",1,1.65
"1280",1,1.7
"1281",1,0.7
"1282",1,0.85
"1283",1,0.5
"1284",1,0.65
"1285",1,2
"1286",1,0.7
"1287",1,0.45
"1288",1,0.95
"1289",1,2
"1290",1,1.9
"1291",1,1.6
"1292",1,1.2
"1293",1,1.1
"1294",1,0.4
"1295",1,1.4
"1296",1,0.8
"1297",1,0.3
"1298",1,1.6
"1299",1,0.2
"1300",1,0.9
"1301",1,1
"1302",1,0.55
"1303",1,1.85
"1304",1,1.8
"1305",1,1.65
"1306",1,0.25
"1307",1,1.2
"1308",1,0.25
"1309",1,0.7
"1310",1,1.9
"1311",1,0.95
"1312",1,0.8
"1313",1,1.55
"1314",1,1
"1315",1,1.85
"1316",1,0.65
"1317",1,1.15
"1318",1,0.6
"1319",1,0.3
"1320",1,1.05
"1321",1,0.35
"1322",1,1.25
"1323",1,1.65
"1324",1,1
"1325",1,0.9
"1326",1,0.85
"1327",1,0.05
"1328",1,1.3
"1329",1,0.5
"1330",1,0.2
"1331",1,0.15
"1332",1,1.75
"1333",1,0.05
"1334",1,1.05
"1335",1,0.25
"1336",1,1.65
"1337",1,1
"1338",1,0.9
"1339",1,1.3
"1340",1,1.95
"1341",1,2
"1342",1,1.3
"1343",1,0.7
"1344",1,1.7
"1345",1,1.35
"1346",1,1.6
"1347",1,0.15
"1348",1,0.9
"1349",1,0.45
"1350",1,0.35
"1351",1,0.85
"1352",1,1.45
"1353",1,1.35
"1354",1,1.85
"1355",1,0.8
"1356",1,0.6
"1357",1,1.35
"1358",1,0.55
"1359",1,0.7
"1360",1,1.45
"1361",1,1.8
"1362",1,1.75
"1363",1,1.3
"1364",1,1.7
"1365",1,1.6
"1366",1,0.85
"1367",1,0.85
"1368",1,1.55
"1369",1,1.9
"1370",1,0.85
"1371",1,1.2
"1372",1,0.9
"1373",1,0.8
"1374",1,0.75
"1375",1,1.1
"1376",1,1.75
"1377",1,0.35
"1378",1,1.85
"1379",1,1.35
"1380",1,0.6
"1381",1,0.15
"1382",1,0.25
"1383",1,0.15
"1384",1,0.65
"1385",1,0.95
"1386",1,1.4
"1387",1,1.65
"1388",1,1.3
"1389",1,0.2
"1390",1,1.55
"1391",1,0.1
"1392",1,1.55
"1393",1,1.85
"1394",1,1.35
"1395",1,0.4
"1396",1,0.25
"1397",1,0.35
"1398",1,0.5
"1399",1,1.5
"1400",1,0.5
"1401",1,1.35
"1402",1,1.2
"1403",1,1.8
"1404",1,0.25
"1405",1,0.75
"1406",1,1.55
"1407",1,0.15
"1408",1,0.65
"1409",1,1.5
"1410",1,1.4
"1411",1,0.25
"1412",1,0.9
"1413",1,2
"1414",1,1.65
"1415",1,1.9
"1416",1,1.9
"1417",1,0.15
"1418",1,1.05
"1419",1,0.25
"1420",1,1.1
"1421",1,1.5
"1422",1,1.8
"1423",1,0.85
"1424",1,0.7
"1425",1,0.45
"1426",1,1.55
"1427",1,1.2
"1428",1,0.65
"1429",1,1.75
"1430",1,0.15
"1431",1,1.35
"1432",1,0.2
"1433",1,1.15
"1434",1,0.5
"1435",1,0.3
"1436",1,0.1
"1437",1,0.9
"1438",1,1.95
"1439",1,0.95
"1440",1,1.55
"1441",1,0.8
"1442",1,0.25
"1443",1,0.2
"1444",1,1.65
"1445",1,0.15
"1446",1,1.45
"1447",1,0.75
"1448",1,1.1
"1449",1,2
"1450",1,1.6
"1451",1,0.1
"1452",1,1.2
"1453",1,1.25
"1454",1,1.85
"1455",1,1.05
"1456",1,0.25
"1457",1,1.4
"1458",1,0.6
"1459",1,1.45
"1460",1,0.3
"1461",1,0.8
"1462",1,0.9
"1463",1,0.2
"1464",1,0.6
"1465",1,1.4
"1466",1,1.9
"1467",1,0.65
"1468",1,0.6
"1469",1,1
"1470",1,1.2
"1471",1,1.25
"1472",1,0.6
"1473",1,0.15
"1474",1,1.75
"1475",1,1.65
"1476",1,0.4
"1477",1,0.65
"1478",1,0.3
"1479",1,1.85
"1480",1,1.45
"1481",1,0.9
"1482",1,1.15
"1483",1,1.4
"1484",1,0.35
"1485",1,1.7
"1486",1,0.6
"1487",1,0.3
"1488",1,1.25
"1489",1,0.95
"1490",1,1.55
"1491",1,1.35
"1492",1,1.65
"1493",1,1.9
"1494",1,1.95
"1495",1,0.5
"1496",1,0.85
"1497",1,1.75
"1498",1,0.05
"1499",1,1.45
"1500",1,1.8
"1501",1,1.95
"1502",1,1.1
"1503",1,0.4
"1504",1,0.4
"1505",1,0.95
"1506",1,1.15
"1507",1,0.6
"1508",1,1.85
"1509",1,1.8
"1510",1,0.15
"1511",1,0.7
"1512",1,1.25
