"","V1","V2","V3","V4","V5","V6"
"169",1,107,4,1.4,4,0.65
"170",1,11,3,1.15,3,1.1
"171",1,101,0,0.7,2,1.4
"172",1,159,3,1.7,2,1.2
"173",1,44,2,1.4,4,0.95
"174",1,131,2,0.25,0,0.9
"175",1,61,2,0.5,3,1.55
"176",1,171,0,0.55,3,1.25
"177",1,14,2,1.35,4,1.9
"178",1,132,0,1,1,0.7
"179",1,18,3,1.15,0,0.75
"180",1,172,1,0.5,2,0.55
"181",1,147,2,0.55,3,1.7
"182",1,1,2,1.05,0,0.35
"183",1,42,3,2,1,0.8
"184",1,41,0,0.65,3,1.35
"185",1,115,4,0.2,1,0.45
"186",1,12,2,0.5,1,1
"187",1,110,3,1.95,3,1.55
"188",1,26,4,0.05,2,1.6
"189",1,1,4,1.9,4,1.2
"190",1,88,0,0.7,0,0.05
"191",1,71,4,0.35,4,1.6
"192",1,122,1,0.25,1,0.4
"193",1,50,3,1.3,2,1.55
"194",1,139,0,0.15,1,0.5
"195",1,59,4,0.4,0,0.65
"196",1,103,1,0.3,1,0.6
"197",1,88,4,1.6,3,1.3
"198",1,30,2,0.15,0,0.75
"199",1,137,0,0.15,4,1.9
"200",1,134,0,0.8,4,2
"201",1,190,2,1.25,2,0.3
"202",1,19,0,0.25,2,1.25
"203",1,15,4,0.45,3,1.6
"204",1,88,4,1.5,4,0.3
"205",1,183,0,0.8,4,0.3
"206",1,49,0,0.95,1,0.25
"207",1,48,4,1.3,2,1.05
"208",1,44,2,0.9,2,0.85
"209",1,74,2,1.55,4,0.35
"210",1,31,4,0.5,3,1.55
"211",1,90,0,0.45,3,1.05
"212",1,36,1,0.35,4,1.2
"213",1,33,3,1.55,0,0.7
"214",1,142,4,0.2,3,1.6
"215",1,47,1,1,4,1
"216",1,91,2,1,1,0.35
"217",1,153,0,0.5,1,0.55
"218",1,114,0,0.95,0,0.75
"219",1,53,2,1.95,4,1.2
"220",1,132,0,0.8,3,1.65
"221",1,32,1,0.3,1,0.25
"222",1,38,0,0.5,4,0.4
"223",1,51,2,0.55,1,0.9
"224",1,61,1,0.55,1,0.75
"225",1,174,0,0.15,4,2
"226",1,75,1,0.65,2,1.5
"227",1,78,1,0.65,3,1.05
"228",1,4,3,1.55,4,1.75
"229",1,79,4,1.65,4,0.75
"230",1,28,0,0.25,3,1.75
"231",1,146,2,1.4,2,0.15
"232",1,28,3,1.1,4,1.05
"233",1,139,2,1.25,3,1.9
"234",1,15,3,2,3,1.75
"235",1,70,4,0.15,0,0.45
"236",1,79,1,0.8,0,0.75
"237",1,85,4,0.4,2,1.35
"238",1,138,0,0.85,2,1.85
"239",1,39,1,0.05,1,0.2
"240",1,191,0,0.35,0,0.55
"241",1,149,4,0.7,3,1.35
"242",1,176,1,0.3,1,0.85
"243",1,13,1,0.6,4,0.9
"244",1,36,3,1.05,4,1.1
"245",1,97,3,1.8,3,1.5
"246",1,26,4,1.2,0,0.2
"247",1,74,1,0.3,4,1.05
"248",1,107,4,0.45,2,1.2
"249",1,72,4,2,2,1.65
"250",1,54,4,0.15,4,1.55
"251",1,172,1,0.95,2,0.55
"252",1,20,1,0.1,3,1.95
"253",1,144,0,0.4,1,0.9
"254",1,93,4,1.95,4,0.5
"255",1,162,2,1.35,3,1.75
"256",1,110,0,0.95,3,1.1
"257",1,7,1,0.85,2,0.7
"258",1,77,0,0.65,0,0.5
"259",1,122,2,1.45,0,0.8
"260",1,12,4,1.45,4,1.4
"261",1,35,4,0.15,4,0.1
"262",1,77,1,0.7,4,1.5
"263",1,48,0,0.8,0,0.45
"264",1,187,4,0.4,1,1
"265",1,36,3,1.55,3,1.65
"266",1,134,3,1.15,0,0.55
"267",1,151,4,1.65,0,0.8
"268",1,59,4,1.75,1,0.6
"269",1,154,4,1.1,3,2
"270",1,122,3,1.05,0,0.9
"271",1,95,3,1.95,3,1.75
"272",1,31,4,0.7,4,0.05
"273",1,82,1,0.8,1,0.55
"274",1,42,0,1,2,0.2
"275",1,2,4,1.95,3,1.55
"276",1,100,3,1.9,2,0.5
"277",1,142,0,0.75,3,1.05
"278",1,138,4,0.85,3,1.7
"279",1,135,4,1.1,3,2
"280",1,139,4,1.8,0,0.05
"281",1,110,2,1.95,0,0.8
"282",1,102,4,2,3,1.7
"283",1,16,0,0.65,2,0.55
"284",1,86,2,1.2,1,0.5
"285",1,23,2,0.85,3,1.45
"286",1,168,4,0.75,4,1.05
"287",1,190,0,0.2,1,0.4
"288",1,8,1,0.75,1,0.2
"289",1,76,2,0.8,3,2
"290",1,57,2,0.6,4,1.7
"291",1,147,1,0.2,4,0.1
"292",1,21,4,0.45,0,0.6
"293",1,142,1,0.1,4,1.75
"294",1,14,0,0.5,0,0.35
"295",1,40,1,0.25,3,1.85
"296",1,61,3,1.15,1,0.35
"297",1,183,1,0.25,3,1.05
"298",1,73,3,1.2,3,1.35
"299",1,34,3,1.1,1,0.8
"300",1,167,2,1.95,2,0.3
"301",1,147,3,1.95,0,0.2
"302",1,175,0,1,3,1.75
"303",1,78,2,0.65,1,0.05
"304",1,190,1,0.4,4,0.05
"305",1,131,2,0.3,2,1.8
"306",1,82,1,0.7,1,0.25
"307",1,82,0,0.5,3,1.8
"308",1,88,4,0.9,3,1.85
"309",1,19,2,0.5,4,1.85
"310",1,24,2,1.15,4,1.5
"311",1,21,0,0.4,0,0.2
"312",1,33,2,1.4,4,0.1
"313",1,50,4,1.05,1,0.75
"314",1,50,3,1.25,4,0.8
"315",1,51,0,0.85,4,0.45
"316",1,95,0,0.6,2,1.4
"317",1,121,2,1.85,3,1.75
"318",1,169,4,1.6,3,2
"319",1,26,0,0.75,0,0.05
"320",1,35,4,0.25,0,0.65
"321",1,177,0,0.45,4,1.45
"322",1,49,2,1.1,0,0.85
"323",1,5,2,1.35,1,1
"324",1,110,1,0.6,2,0.6
"325",1,72,2,1.7,1,0.6
"326",1,48,2,0.35,4,1.35
"327",1,29,3,1.15,3,1.95
"328",1,150,3,1.9,1,1
"329",1,117,1,0.95,2,0.35
"330",1,75,4,1.05,1,0.15
"331",1,39,2,0.75,1,0.6
"332",1,83,3,1.85,0,0.3
"333",1,185,0,0.95,2,1.45
"334",1,154,2,1.75,0,0.5
"335",1,169,1,0.4,2,0.9
"336",1,46,4,0.35,0,0.8
"337",1,35,3,1.7,2,0.05
"338",1,23,1,0.15,4,1.2
"339",1,80,2,1.95,0,0.75
"340",1,190,1,0.9,1,0.5
"341",1,81,1,0.5,0,0.4
"342",1,37,4,1,3,1.55
"343",1,54,1,0.6,0,0.8
"344",1,34,4,1.95,2,1.45
"345",1,42,1,0.35,2,0.2
"346",1,73,2,1.55,4,2
"347",1,81,4,1.8,1,0.6
"348",1,167,0,0.8,4,1.8
"349",1,165,0,0.7,3,1.05
"350",1,119,4,1.85,2,1.2
"351",1,97,2,1.65,2,1.25
"352",1,123,4,1.2,0,0.95
"353",1,61,2,0.05,1,0.5
"354",1,118,2,1.7,4,0.35
"355",1,198,4,1.5,4,0.05
"356",1,12,2,0.6,0,0.8
"357",1,169,1,0.7,2,0.5
"358",1,12,1,0.9,0,0.05
"359",1,161,1,0.75,0,0.5
"360",1,192,0,0.85,0,0.05
"361",1,188,2,0.6,2,0.05
"362",1,114,0,0.35,1,0.25
"363",1,94,3,1.5,3,1.2
"364",1,131,4,1.55,0,0.45
"365",1,2,0,0.9,2,1.8
"366",1,88,4,0.5,3,1.7
"367",1,147,2,1.65,0,0.15
"368",1,107,2,0.85,1,0.9
"369",1,38,0,0.15,3,1.6
"370",1,103,4,1.3,1,0.2
"371",1,54,2,0.1,0,0.7
"372",1,62,1,0.8,0,0.2
"373",1,120,2,1.15,1,0.7
"374",1,155,2,0.05,2,1.85
"375",1,193,1,0.65,2,1.1
"376",1,34,3,2,1,0.25
"377",1,19,1,0.7,4,1.2
"378",1,91,4,1.15,4,1.05
"379",1,197,1,0.85,2,1.55
"380",1,166,0,0.2,2,1.75
"381",1,181,0,0.2,3,1.5
"382",1,149,2,0.45,2,0.85
"383",1,181,2,0.45,1,0.5
"384",1,76,0,0.4,4,0.65
"385",1,46,4,0.4,2,0.35
"386",1,15,1,0.7,0,0.9
"387",1,169,4,1.85,4,1.45
"388",1,26,1,0.2,3,1.7
"389",1,60,1,0.9,4,0.6
"390",1,15,4,0.3,0,0.2
"391",1,22,0,0.85,0,0.7
"392",1,133,0,0.3,3,1.05
"393",1,152,2,1.9,1,1
"394",1,92,2,1.3,1,0.5
"395",1,39,0,0.25,2,1.15
"396",1,46,0,0.55,1,0.45
"397",1,71,2,0.1,4,0.5
"398",1,51,4,0.45,4,1.45
"399",1,48,0,0.35,1,0.15
"400",1,118,3,1.1,1,0.1
"401",1,69,0,0.1,3,1.2
"402",1,26,2,0.2,3,1.3
"403",1,83,1,1,2,1.35
"404",1,15,4,0.65,0,0.15
"405",1,149,2,0.3,2,1.55
"406",1,5,2,1.5,2,1.55
"407",1,163,1,0.9,2,0.05
"408",1,58,4,1.3,2,0.3
"409",1,129,2,0.95,3,1.45
"410",1,31,1,0.85,1,0.3
"411",1,26,1,0.95,2,0.45
"412",1,162,1,0.05,0,0.05
"413",1,119,4,1.2,2,1.45
"414",1,165,3,1.05,4,1.55
"415",1,81,4,1.95,3,1.95
"416",1,120,2,0.75,4,0.3
"417",1,91,0,0.85,4,1.55
"418",1,114,0,0.15,3,1.7
"419",1,194,2,1.85,1,0.1
"420",1,23,0,0.9,1,0.9
"421",1,47,2,1.6,0,0.95
"422",1,49,4,0.4,1,0.4
"423",1,20,3,1.95,2,0.65
"424",1,78,4,0.85,3,1.95
"425",1,55,2,0.6,2,0.4
"426",1,7,4,0.35,4,0.55
"427",1,5,0,0.55,2,0.85
"428",1,127,2,1.4,1,0.35
"429",1,117,4,0.35,1,0.3
"430",1,64,4,0.9,4,2
"431",1,114,1,0.55,0,0.85
"432",1,165,0,0.45,4,0.05
"433",1,84,1,0.05,1,0.9
"434",1,129,0,0.45,1,0.4
"435",1,119,0,0.4,2,0.85
"436",1,43,4,1.75,0,0.35
"437",1,112,0,0.7,3,1.05
"438",1,18,2,1.85,0,0.65
"439",1,162,0,0.75,3,1.8
"440",1,190,4,1.4,2,1.2
"441",1,30,1,0.05,0,0.05
"442",1,102,3,1.2,3,1.25
"443",1,98,2,0.05,4,0.45
"444",1,121,1,0.85,4,2
"445",1,9,3,1.45,2,0.25
"446",1,35,2,1.5,4,1.9
"447",1,167,2,0.05,0,0.75
"448",1,70,0,0.65,2,1.6
"449",1,95,1,0.2,4,0.85
"450",1,127,1,0.95,4,1.95
"451",1,81,4,1.1,2,1.55
"452",1,197,3,1.85,3,1.35
"453",1,155,2,0.75,1,0.1
"454",1,51,4,0.1,3,1.9
"455",1,28,3,1.45,4,1.4
"456",1,199,4,1.85,0,0.95
"457",1,173,1,0.8,4,0.85
"458",1,39,0,0.85,0,0.3
"459",1,187,4,0.7,2,1.65
"460",1,83,3,1.45,0,0.45
"461",1,43,0,0.4,1,0.1
"462",1,198,4,0.8,2,0.5
"463",1,166,2,1.65,0,0.6
"464",1,3,1,0.65,0,1
"465",1,36,4,0.3,2,1.1
"466",1,98,3,1.5,3,1.1
"467",1,50,2,0.85,2,0.25
"468",1,43,4,0.7,4,0.4
"469",1,7,0,0.95,0,0.15
"470",1,53,1,0.6,2,0.6
"471",1,64,4,0.65,0,0.8
"472",1,15,1,1,3,1.65
"473",1,130,4,1.15,1,0.1
"474",1,109,4,0.85,0,0.95
"475",1,12,2,1.25,0,0.1
"476",1,170,0,0.3,3,1.45
"477",1,37,3,1.5,1,0.15
"478",1,60,2,1.15,3,1.2
"479",1,188,4,0.5,0,0.9
"480",1,59,2,0.35,0,0.9
"481",1,187,4,0.8,0,0.35
"482",1,128,2,1.9,0,0.7
"483",1,126,4,0.4,1,0.8
"484",1,153,2,0.75,2,0.7
"485",1,87,1,0.55,1,0.15
"486",1,63,4,0.6,4,0.45
"487",1,161,0,0.45,1,0.8
"488",1,30,1,0.75,2,1.95
"489",1,6,0,0.3,4,0.3
"490",1,158,0,0.7,2,0.25
"491",1,65,2,1.15,2,1.55
"492",1,120,2,0.5,0,0.5
"493",1,142,4,1.45,2,0.45
"494",1,26,2,1.7,4,0.55
"495",1,95,2,1.5,0,0.5
"496",1,146,0,0.4,3,1.05
"497",1,184,2,1.7,3,1.2
"498",1,44,2,0.35,2,1.55
"499",1,113,3,1.55,4,1.8
"500",1,96,4,1.95,4,1.45
"501",1,34,0,0.2,4,0.65
"502",1,82,0,0.35,3,1.2
"503",1,99,2,0.6,2,0.45
"504",1,100,3,1.25,0,0.45
"505",1,128,1,0.65,1,0.55
"506",1,97,0,0.9,4,1.6
"507",1,19,4,0.6,3,1.25
"508",1,19,3,1.8,4,0.8
"509",1,175,4,1.05,2,1.9
"510",1,144,2,1.05,1,0.35
"511",1,153,1,0.4,1,0.7
"512",1,27,0,0.65,1,0.05
"513",1,170,4,0.9,4,1.6
"514",1,122,0,0.55,2,0.1
"515",1,88,4,0.2,2,0.45
"516",1,167,4,1,3,1.75
"517",1,116,1,0.15,1,0.25
"518",1,3,3,1.7,4,0.05
"519",1,198,1,0.5,4,2
"520",1,80,0,0.85,4,0.7
"521",1,19,0,0.7,4,1
"522",1,70,4,0.85,4,1.65
"523",1,189,0,0.25,1,0.8
"524",1,78,4,1.85,1,0.9
"525",1,10,1,0.6,1,0.15
"526",1,46,2,1.15,3,1.65
"527",1,29,1,0.85,4,1.25
"528",1,88,4,1.8,1,0.1
"529",1,86,3,1.05,2,1.25
"530",1,26,3,1.4,2,1.95
"531",1,155,4,1.2,3,1.9
"532",1,192,2,0.8,3,1.8
"533",1,55,2,1.3,3,1.2
"534",1,10,1,1,3,1.85
"535",1,40,1,0.45,0,0.55
"536",1,15,0,0.7,1,0.2
"537",1,8,2,1.5,2,0.3
"538",1,59,0,0.25,2,1.25
"539",1,117,1,0.9,2,0.45
"540",1,157,3,1.5,0,0.6
"541",1,2,2,1.2,0,0.5
"542",1,56,2,1.45,4,2
"543",1,100,3,1.4,2,0.6
"544",1,62,4,0.2,0,0.75
"545",1,55,4,0.05,3,1.45
"546",1,160,2,1.15,2,1.85
"547",1,171,2,0.4,1,0.6
"548",1,113,1,0.3,4,1.5
"549",1,26,1,0.25,1,0.75
"550",1,45,3,1.9,3,1.8
"551",1,181,2,1.95,0,0.55
"552",1,56,3,1.4,1,0.3
"553",1,102,3,1.5,1,0.85
"554",1,160,3,1.45,2,1.4
"555",1,114,1,0.8,1,0.5
"556",1,114,0,0.6,2,0.4
"557",1,121,4,1.8,0,0.05
"558",1,159,4,1.7,2,0.2
"559",1,162,1,0.85,3,1.9
"560",1,139,2,0.15,1,0.15
"561",1,118,1,0.3,1,0.75
"562",1,181,4,1.7,2,0.4
"563",1,13,3,1.25,0,0.85
"564",1,131,4,1.95,2,1.4
"565",1,149,0,0.75,3,1.05
"566",1,52,4,0.65,3,1.95
"567",1,199,3,1.2,4,0.6
"568",1,6,2,0.35,2,0.6
"569",1,146,1,1,4,1.35
"570",1,164,4,0.9,1,0.6
"571",1,60,0,0.2,3,1.8
"572",1,193,2,1.75,1,0.7
"573",1,19,2,1.3,0,0.65
"574",1,38,2,1.45,1,0.75
"575",1,189,1,0.25,1,0.2
"576",1,147,4,1.9,2,0.05
"577",1,12,4,0.3,0,0.05
"578",1,51,0,0.5,0,0.4
"579",1,182,0,0.9,0,0.6
"580",1,97,4,1,3,1.45
"581",1,23,3,1.2,3,1.95
"582",1,82,0,0.35,0,1
"583",1,129,0,0.1,4,1.05
"584",1,121,2,1.1,3,1.55
"585",1,113,1,0.35,3,1.8
"586",1,177,4,1.6,0,0.95
"587",1,144,0,0.5,4,0.25
"588",1,104,3,1.15,2,1.15
"589",1,148,3,1.9,3,1.55
"590",1,112,4,1.85,4,0.45
"591",1,9,2,1.95,1,0.35
"592",1,37,0,0.55,4,0.75
"593",1,115,1,0.2,0,0.7
"594",1,120,2,1.4,4,1.7
"595",1,67,2,0.4,1,0.05
"596",1,5,3,1.5,2,0.75
"597",1,48,0,0.35,2,0.35
"598",1,73,0,0.5,1,0.2
"599",1,132,3,2,0,1
"600",1,154,1,0.3,0,0.55
"601",1,171,0,0.6,2,1.75
"602",1,88,0,0.35,2,0.85
"603",1,153,1,0.05,4,1.25
"604",1,85,2,1.8,2,0.35
"605",1,134,1,0.25,2,1.65
"606",1,23,3,1.3,4,1.45
"607",1,139,2,0.3,3,1.95
"608",1,75,3,1.4,3,1.5
"609",1,74,1,0.85,2,0.25
"610",1,135,1,1,3,1.4
"611",1,140,3,1.1,2,0.95
"612",1,140,1,0.7,1,0.8
"613",1,124,2,0.45,2,1.55
"614",1,159,2,0.45,4,0.3
"615",1,26,1,0.5,4,1.45
"616",1,173,4,0.95,0,0.15
"617",1,21,4,0.1,4,0.85
"618",1,67,3,1.45,1,0.65
"619",1,58,0,0.15,1,0.15
"620",1,82,4,1.25,1,0.15
"621",1,136,1,0.9,3,1.65
"622",1,160,4,1.7,3,1.95
"623",1,161,1,0.3,0,0.25
"624",1,71,2,1.75,2,1.6
"625",1,183,4,1.95,0,0.9
"626",1,192,4,1.45,3,1.8
"627",1,19,2,1.25,0,0.95
"628",1,66,3,1.7,4,0.6
"629",1,24,0,0.6,0,0.45
"630",1,172,2,1.35,1,0.2
"631",1,59,4,0.8,1,0.75
"632",1,140,4,0.45,4,0.5
"633",1,44,1,0.15,1,1
"634",1,76,0,0.2,0,0.8
"635",1,101,4,0.5,0,0.85
"636",1,140,0,0.7,2,1.45
"637",1,137,0,0.55,3,1.1
"638",1,189,3,1.4,2,1.9
"639",1,96,0,0.6,1,0.85
"640",1,19,2,0.3,2,0.4
"641",1,165,1,0.2,0,0.4
"642",1,52,2,0.65,0,0.65
"643",1,134,1,0.25,0,0.25
"644",1,199,0,0.75,1,0.8
"645",1,7,2,1.9,3,1.5
"646",1,8,0,0.35,4,0.05
"647",1,171,2,1.05,0,0.85
"648",1,57,1,0.3,1,1
"649",1,88,0,0.15,1,0.25
"650",1,79,2,0.25,4,1.6
"651",1,7,1,0.55,0,0.35
"652",1,15,3,1.75,0,0.95
"653",1,79,1,0.8,4,0.2
"654",1,91,2,0.65,1,0.35
"655",1,191,0,0.75,4,1.25
"656",1,14,1,0.65,3,1.7
"657",1,45,1,0.7,0,0.45
"658",1,87,2,0.75,1,1
"659",1,62,1,0.8,2,1.25
"660",1,194,4,0.75,1,0.4
"661",1,17,0,0.2,4,0.4
"662",1,127,0,0.9,4,0.15
"663",1,59,1,0.4,2,0.95
"664",1,50,2,1.05,3,1.6
"665",1,79,4,0.1,3,1.2
"666",1,185,1,0.4,1,0.55
"667",1,134,4,0.7,2,1.65
"668",1,163,3,1.2,2,1.45
"669",1,171,2,1.4,3,1.5
"670",1,121,3,1.15,4,1.4
"671",1,20,4,0.45,0,0.95
"672",1,162,1,0.85,1,0.9
"673",1,175,2,0.25,3,1.6
"674",1,38,4,0.85,1,0.5
"675",1,96,4,0.55,4,0.1
"676",1,22,2,1.1,0,0.05
"677",1,62,0,0.7,0,0.55
"678",1,141,3,1.65,0,0.85
"679",1,111,1,0.25,1,0.45
"680",1,9,0,0.1,2,0.55
"681",1,184,2,1.25,4,0.25
"682",1,60,1,0.65,0,0.35
"683",1,148,3,1.4,0,0.8
"684",1,46,4,1.95,2,1.75
"685",1,104,0,0.25,0,0.3
"686",1,182,4,1.2,4,1.65
"687",1,193,3,1.7,0,0.95
"688",1,54,1,0.6,3,1.45
"689",1,130,2,0.4,0,0.95
"690",1,47,0,0.25,2,1.4
"691",1,32,3,1.9,4,1.55
"692",1,137,1,0.8,2,0.95
"693",1,19,3,1.3,2,0.4
"694",1,92,2,0.35,1,0.35
"695",1,124,0,0.7,0,0.3
"696",1,31,4,0.65,0,0.45
"697",1,116,4,2,0,0.35
"698",1,35,2,0.45,3,1.7
"699",1,34,4,1.35,4,0.65
"700",1,106,3,1.8,0,0.5
"701",1,159,0,0.3,3,1.65
"702",1,85,0,0.75,0,0.7
"703",1,125,0,0.35,3,1.15
"704",1,123,0,0.1,2,1.45
"705",1,18,4,1.7,2,1.3
"706",1,66,2,1.45,2,1.3
"707",1,64,3,1.85,0,0.05
"708",1,197,4,1.65,1,0.3
"709",1,20,3,1.2,4,0.05
"710",1,30,0,0.45,0,0.25
"711",1,159,0,0.4,1,1
"712",1,2,3,1.8,2,0.15
"713",1,134,4,1.35,2,1.2
"714",1,164,0,0.15,2,1.95
"715",1,90,0,0.75,1,0.4
"716",1,188,3,1.35,1,0.95
"717",1,14,3,1.9,4,1.15
"718",1,27,2,1.15,0,0.1
"719",1,106,1,0.9,1,0.95
"720",1,121,1,0.85,1,0.45
"721",1,79,4,1.3,4,0.1
"722",1,58,2,1.35,0,0.15
"723",1,193,4,0.6,2,0.45
"724",1,132,1,0.1,4,1.35
"725",1,153,4,1.55,2,0.1
"726",1,84,1,0.4,4,0.65
"727",1,75,0,1,1,0.8
"728",1,120,1,0.35,1,0.9
"729",1,77,2,1,3,1.5
"730",1,121,2,1.85,1,0.3
"731",1,96,4,1,0,0.05
"732",1,8,3,1.5,1,0.75
"733",1,99,4,1.95,4,0.8
"734",1,119,0,0.2,1,0.55
"735",1,161,3,1.55,2,1.6
"736",1,149,2,1.25,2,0.45
"737",1,189,2,0.45,4,1.95
"738",1,5,1,0.15,4,0.35
"739",1,140,1,0.95,1,0.5
"740",1,60,3,1.15,3,1.8
