,Changepoint,M1,E1,M2,E2
134,142,1,0.3,3,1.05
135,25,0,0.95,0,0.6
136,53,2,0.15,4,0.15
137,163,3,1.65,2,1.65
138,175,4,1.45,3,1.75
139,161,2,1.35,2,1.55
140,4,0,0.65,0,0.85
141,154,0,0.95,3,1.65
142,10,2,0.25,2,0.45
143,88,0,0.6,1,0.8
144,4,1,0.55,3,1.15
145,46,2,0.5,3,1.35
146,44,3,1.85,2,0.7
147,116,4,0.7,4,0.55
148,144,3,1.6,0,0.7
149,50,0,0.9,2,1.75
150,119,3,1.6,0,0.15
151,39,0,0.1,4,1.7
152,11,1,0.65,1,0.85
153,114,4,0.05,4,1.7
154,26,2,0.85,3,1.45
155,26,0,0.95,2,1.55
156,198,2,0.3,2,1.05
157,171,2,1.35,0,0.35
158,48,3,1.65,4,2.0
159,34,2,1.15,3,1.6
160,176,2,0.95,1,0.1
161,182,1,0.35,1,0.9
162,98,2,1.95,0,0.5
163,196,0,0.9,2,1.15
164,30,3,1.05,2,0.5
165,197,4,0.75,1,0.15
166,136,1,0.55,4,1.7
167,167,4,1.65,4,0.95
168,107,4,1.4,4,0.65
169,11,3,1.15,3,1.1
170,101,0,0.7,2,1.4
171,159,3,1.7,2,1.2
172,44,2,1.4,4,0.95
173,131,2,0.25,0,0.9
174,61,2,0.5,3,1.55
175,171,0,0.55,3,1.25
176,14,2,1.35,4,1.9
177,132,0,1.0,1,0.7
178,18,3,1.15,0,0.75
179,172,1,0.5,2,0.55
180,147,2,0.55,3,1.7
181,1,2,1.05,0,0.35
182,42,3,2.0,1,0.8
183,41,0,0.65,3,1.35
184,115,4,0.2,1,0.45
185,12,2,0.5,1,1.0
186,110,3,1.95,3,1.55
187,26,4,0.05,2,1.6
188,1,4,1.9,4,1.2
189,88,0,0.7,0,0.05
190,71,4,0.35,4,1.6
191,122,1,0.25,1,0.4
192,50,3,1.3,2,1.55
193,139,0,0.15,1,0.5
194,59,4,0.4,0,0.65
195,103,1,0.3,1,0.6
196,88,4,1.6,3,1.3
197,30,2,0.15,0,0.75
198,137,0,0.15,4,1.9
199,134,0,0.8,4,2.0
200,190,2,1.25,2,0.3
201,19,0,0.25,2,1.25
202,15,4,0.45,3,1.6
203,88,4,1.5,4,0.3
204,183,0,0.8,4,0.3
205,49,0,0.95,1,0.25
206,48,4,1.3,2,1.05
207,44,2,0.9,2,0.85
208,74,2,1.55,4,0.35
209,31,4,0.5,3,1.55
210,90,0,0.45,3,1.05
211,36,1,0.35,4,1.2
212,33,3,1.55,0,0.7
213,142,4,0.2,3,1.6
214,47,1,1.0,4,1.0
215,91,2,1.0,1,0.35
216,153,0,0.5,1,0.55
217,114,0,0.95,0,0.75
218,53,2,1.95,4,1.2
219,132,0,0.8,3,1.65
220,32,1,0.3,1,0.25
221,38,0,0.5,4,0.4
222,51,2,0.55,1,0.9
223,61,1,0.55,1,0.75
224,174,0,0.15,4,2.0
225,75,1,0.65,2,1.5
226,78,1,0.65,3,1.05
227,4,3,1.55,4,1.75
228,79,4,1.65,4,0.75
229,28,0,0.25,3,1.75
230,146,2,1.4,2,0.15
231,28,3,1.1,4,1.05
232,139,2,1.25,3,1.9
233,15,3,2.0,3,1.75
234,70,4,0.15,0,0.45
235,79,1,0.8,0,0.75
236,85,4,0.4,2,1.35
237,138,0,0.85,2,1.85
238,39,1,0.05,1,0.2
239,191,0,0.35,0,0.55
240,149,4,0.7,3,1.35
241,176,1,0.3,1,0.85
242,13,1,0.6,4,0.9
243,36,3,1.05,4,1.1
244,97,3,1.8,3,1.5
245,26,4,1.2,0,0.2
246,74,1,0.3,4,1.05
247,107,4,0.45,2,1.2
248,72,4,2.0,2,1.65
249,54,4,0.15,4,1.55
250,172,1,0.95,2,0.55
251,20,1,0.1,3,1.95
252,144,0,0.4,1,0.9
253,93,4,1.95,4,0.5
254,162,2,1.35,3,1.75
255,110,0,0.95,3,1.1
256,7,1,0.85,2,0.7
257,77,0,0.65,0,0.5
258,122,2,1.45,0,0.8
259,12,4,1.45,4,1.4
260,35,4,0.15,4,0.1
261,77,1,0.7,4,1.5
262,48,0,0.8,0,0.45
263,187,4,0.4,1,1.0
264,36,3,1.55,3,1.65
265,134,3,1.15,0,0.55
266,151,4,1.65,0,0.8
267,59,4,1.75,1,0.6
268,154,4,1.1,3,2.0
269,122,3,1.05,0,0.9
270,95,3,1.95,3,1.75
271,31,4,0.7,4,0.05
272,82,1,0.8,1,0.55
273,42,0,1.0,2,0.2
274,2,4,1.95,3,1.55
275,100,3,1.9,2,0.5
276,142,0,0.75,3,1.05
277,138,4,0.85,3,1.7
278,135,4,1.1,3,2.0
279,139,4,1.8,0,0.05
280,110,2,1.95,0,0.8
281,102,4,2.0,3,1.7
282,16,0,0.65,2,0.55
283,86,2,1.2,1,0.5
284,23,2,0.85,3,1.45
285,168,4,0.75,4,1.05
286,190,0,0.2,1,0.4
287,8,1,0.75,1,0.2
288,76,2,0.8,3,2.0
289,57,2,0.6,4,1.7
290,147,1,0.2,4,0.1
291,21,4,0.45,0,0.6
292,142,1,0.1,4,1.75
293,14,0,0.5,0,0.35
294,40,1,0.25,3,1.85
295,61,3,1.15,1,0.35
296,183,1,0.25,3,1.05
297,73,3,1.2,3,1.35
298,34,3,1.1,1,0.8
299,167,2,1.95,2,0.3
300,147,3,1.95,0,0.2
301,175,0,1.0,3,1.75
302,78,2,0.65,1,0.05
303,190,1,0.4,4,0.05
304,131,2,0.3,2,1.8
305,82,1,0.7,1,0.25
306,82,0,0.5,3,1.8
307,88,4,0.9,3,1.85
308,19,2,0.5,4,1.85
309,24,2,1.15,4,1.5
310,21,0,0.4,0,0.2
311,33,2,1.4,4,0.1
312,50,4,1.05,1,0.75
313,50,3,1.25,4,0.8
314,51,0,0.85,4,0.45
315,95,0,0.6,2,1.4
316,121,2,1.85,3,1.75
317,169,4,1.6,3,2.0
318,26,0,0.75,0,0.05
319,35,4,0.25,0,0.65
320,177,0,0.45,4,1.45
321,49,2,1.1,0,0.85
322,5,2,1.35,1,1.0
323,110,1,0.6,2,0.6
324,72,2,1.7,1,0.6
325,48,2,0.35,4,1.35
326,29,3,1.15,3,1.95
327,150,3,1.9,1,1.0
328,117,1,0.95,2,0.35
329,75,4,1.05,1,0.15
330,39,2,0.75,1,0.6
331,83,3,1.85,0,0.3
332,185,0,0.95,2,1.45
333,154,2,1.75,0,0.5
334,169,1,0.4,2,0.9
335,46,4,0.35,0,0.8
336,35,3,1.7,2,0.05
337,23,1,0.15,4,1.2
338,80,2,1.95,0,0.75
339,190,1,0.9,1,0.5
340,81,1,0.5,0,0.4
341,37,4,1.0,3,1.55
342,54,1,0.6,0,0.8
343,34,4,1.95,2,1.45
344,42,1,0.35,2,0.2
345,73,2,1.55,4,2.0
346,81,4,1.8,1,0.6
347,167,0,0.8,4,1.8
348,165,0,0.7,3,1.05
349,119,4,1.85,2,1.2
350,97,2,1.65,2,1.25
351,123,4,1.2,0,0.95
352,61,2,0.05,1,0.5
353,118,2,1.7,4,0.35
354,198,4,1.5,4,0.05
355,12,2,0.6,0,0.8
356,169,1,0.7,2,0.5
357,12,1,0.9,0,0.05
358,161,1,0.75,0,0.5
359,192,0,0.85,0,0.05
360,188,2,0.6,2,0.05
361,114,0,0.35,1,0.25
362,94,3,1.5,3,1.2
363,131,4,1.55,0,0.45
364,2,0,0.9,2,1.8
365,88,4,0.5,3,1.7
366,147,2,1.65,0,0.15
367,107,2,0.85,1,0.9
368,38,0,0.15,3,1.6
369,103,4,1.3,1,0.2
370,54,2,0.1,0,0.7
371,62,1,0.8,0,0.2
372,120,2,1.15,1,0.7
373,155,2,0.05,2,1.85
374,193,1,0.65,2,1.1
375,34,3,2.0,1,0.25
376,19,1,0.7,4,1.2
377,91,4,1.15,4,1.05
378,197,1,0.85,2,1.55
379,166,0,0.2,2,1.75
380,181,0,0.2,3,1.5
381,149,2,0.45,2,0.85
382,181,2,0.45,1,0.5
383,76,0,0.4,4,0.65
384,46,4,0.4,2,0.35
385,15,1,0.7,0,0.9
386,169,4,1.85,4,1.45
387,26,1,0.2,3,1.7
388,60,1,0.9,4,0.6
389,15,4,0.3,0,0.2
390,22,0,0.85,0,0.7
391,133,0,0.3,3,1.05
392,152,2,1.9,1,1.0
393,92,2,1.3,1,0.5
394,39,0,0.25,2,1.15
395,46,0,0.55,1,0.45
396,71,2,0.1,4,0.5
397,51,4,0.45,4,1.45
398,48,0,0.35,1,0.15
399,118,3,1.1,1,0.1
400,69,0,0.1,3,1.2
401,26,2,0.2,3,1.3
402,83,1,1.0,2,1.35
403,15,4,0.65,0,0.15
404,149,2,0.3,2,1.55
405,5,2,1.5,2,1.55
406,163,1,0.9,2,0.05
407,58,4,1.3,2,0.3
408,129,2,0.95,3,1.45
409,31,1,0.85,1,0.3
410,26,1,0.95,2,0.45
411,162,1,0.05,0,0.05
412,119,4,1.2,2,1.45
413,165,3,1.05,4,1.55
414,81,4,1.95,3,1.95
415,120,2,0.75,4,0.3
416,91,0,0.85,4,1.55
417,114,0,0.15,3,1.7
418,194,2,1.85,1,0.1
419,23,0,0.9,1,0.9
420,47,2,1.6,0,0.95
421,49,4,0.4,1,0.4
422,20,3,1.95,2,0.65
423,78,4,0.85,3,1.95
424,55,2,0.6,2,0.4
425,7,4,0.35,4,0.55
426,5,0,0.55,2,0.85
427,127,2,1.4,1,0.35
428,117,4,0.35,1,0.3
429,64,4,0.9,4,2.0
430,114,1,0.55,0,0.85
431,165,0,0.45,4,0.05
432,84,1,0.05,1,0.9
433,129,0,0.45,1,0.4
434,119,0,0.4,2,0.85
435,43,4,1.75,0,0.35
436,112,0,0.7,3,1.05
437,18,2,1.85,0,0.65
438,162,0,0.75,3,1.8
439,190,4,1.4,2,1.2
440,30,1,0.05,0,0.05
441,102,3,1.2,3,1.25
442,98,2,0.05,4,0.45
443,121,1,0.85,4,2.0
444,9,3,1.45,2,0.25
445,35,2,1.5,4,1.9
446,167,2,0.05,0,0.75
447,70,0,0.65,2,1.6
448,95,1,0.2,4,0.85
449,127,1,0.95,4,1.95
450,81,4,1.1,2,1.55
451,197,3,1.85,3,1.35
452,155,2,0.75,1,0.1
453,51,4,0.1,3,1.9
454,28,3,1.45,4,1.4
455,199,4,1.85,0,0.95
456,173,1,0.8,4,0.85
457,39,0,0.85,0,0.3
458,187,4,0.7,2,1.65
459,83,3,1.45,0,0.45
460,43,0,0.4,1,0.1
461,198,4,0.8,2,0.5
462,166,2,1.65,0,0.6
463,3,1,0.65,0,1.0
464,36,4,0.3,2,1.1
465,98,3,1.5,3,1.1
466,50,2,0.85,2,0.25
467,43,4,0.7,4,0.4
468,7,0,0.95,0,0.15
469,53,1,0.6,2,0.6
470,64,4,0.65,0,0.8
471,15,1,1.0,3,1.65
472,130,4,1.15,1,0.1
473,109,4,0.85,0,0.95
474,12,2,1.25,0,0.1
475,170,0,0.3,3,1.45
476,37,3,1.5,1,0.15
477,60,2,1.15,3,1.2
478,188,4,0.5,0,0.9
479,59,2,0.35,0,0.9
480,187,4,0.8,0,0.35
481,128,2,1.9,0,0.7
482,126,4,0.4,1,0.8
483,153,2,0.75,2,0.7
484,87,1,0.55,1,0.15
485,63,4,0.6,4,0.45
486,161,0,0.45,1,0.8
487,30,1,0.75,2,1.95
488,6,0,0.3,4,0.3
489,158,0,0.7,2,0.25
490,65,2,1.15,2,1.55
491,120,2,0.5,0,0.5
492,142,4,1.45,2,0.45
493,26,2,1.7,4,0.55
494,95,2,1.5,0,0.5
495,146,0,0.4,3,1.05
496,184,2,1.7,3,1.2
497,44,2,0.35,2,1.55
498,113,3,1.55,4,1.8
499,96,4,1.95,4,1.45
500,34,0,0.2,4,0.65
501,82,0,0.35,3,1.2
502,99,2,0.6,2,0.45
503,100,3,1.25,0,0.45
504,128,1,0.65,1,0.55
505,97,0,0.9,4,1.6
506,19,4,0.6,3,1.25
507,19,3,1.8,4,0.8
508,175,4,1.05,2,1.9
509,144,2,1.05,1,0.35
510,153,1,0.4,1,0.7
511,27,0,0.65,1,0.05
512,170,4,0.9,4,1.6
513,122,0,0.55,2,0.1
514,88,4,0.2,2,0.45
515,167,4,1.0,3,1.75
516,116,1,0.15,1,0.25
517,3,3,1.7,4,0.05
518,198,1,0.5,4,2.0
519,80,0,0.85,4,0.7
520,19,0,0.7,4,1.0
521,70,4,0.85,4,1.65
522,189,0,0.25,1,0.8
523,78,4,1.85,1,0.9
524,10,1,0.6,1,0.15
525,46,2,1.15,3,1.65
526,29,1,0.85,4,1.25
527,88,4,1.8,1,0.1
528,86,3,1.05,2,1.25
529,26,3,1.4,2,1.95
530,155,4,1.2,3,1.9
531,192,2,0.8,3,1.8
532,55,2,1.3,3,1.2
533,10,1,1.0,3,1.85
534,40,1,0.45,0,0.55
535,15,0,0.7,1,0.2
536,8,2,1.5,2,0.3
537,59,0,0.25,2,1.25
538,117,1,0.9,2,0.45
539,157,3,1.5,0,0.6
540,2,2,1.2,0,0.5
541,56,2,1.45,4,2.0
542,100,3,1.4,2,0.6
543,62,4,0.2,0,0.75
544,55,4,0.05,3,1.45
545,160,2,1.15,2,1.85
546,171,2,0.4,1,0.6
547,113,1,0.3,4,1.5
548,26,1,0.25,1,0.75
549,45,3,1.9,3,1.8
550,181,2,1.95,0,0.55
551,56,3,1.4,1,0.3
552,102,3,1.5,1,0.85
553,160,3,1.45,2,1.4
554,114,1,0.8,1,0.5
555,114,0,0.6,2,0.4
556,121,4,1.8,0,0.05
557,159,4,1.7,2,0.2
558,162,1,0.85,3,1.9
559,139,2,0.15,1,0.15
560,118,1,0.3,1,0.75
561,181,4,1.7,2,0.4
562,13,3,1.25,0,0.85
563,131,4,1.95,2,1.4
564,149,0,0.75,3,1.05
565,52,4,0.65,3,1.95
566,199,3,1.2,4,0.6
567,6,2,0.35,2,0.6
568,146,1,1.0,4,1.35
569,164,4,0.9,1,0.6
570,60,0,0.2,3,1.8
571,193,2,1.75,1,0.7
572,19,2,1.3,0,0.65
573,38,2,1.45,1,0.75
574,189,1,0.25,1,0.2
575,147,4,1.9,2,0.05
576,12,4,0.3,0,0.05
577,51,0,0.5,0,0.4
578,182,0,0.9,0,0.6
579,97,4,1.0,3,1.45
580,23,3,1.2,3,1.95
581,82,0,0.35,0,1.0
582,129,0,0.1,4,1.05
583,121,2,1.1,3,1.55
584,113,1,0.35,3,1.8
585,177,4,1.6,0,0.95
586,144,0,0.5,4,0.25
587,104,3,1.15,2,1.15
588,148,3,1.9,3,1.55
589,112,4,1.85,4,0.45
590,9,2,1.95,1,0.35
591,37,0,0.55,4,0.75
592,115,1,0.2,0,0.7
593,120,2,1.4,4,1.7
594,67,2,0.4,1,0.05
595,5,3,1.5,2,0.75
596,48,0,0.35,2,0.35
597,73,0,0.5,1,0.2
598,132,3,2.0,0,1.0
599,154,1,0.3,0,0.55
600,171,0,0.6,2,1.75
601,88,0,0.35,2,0.85
602,153,1,0.05,4,1.25
603,85,2,1.8,2,0.35
604,134,1,0.25,2,1.65
605,23,3,1.3,4,1.45
606,139,2,0.3,3,1.95
607,75,3,1.4,3,1.5
608,74,1,0.85,2,0.25
609,135,1,1.0,3,1.4
610,140,3,1.1,2,0.95
611,140,1,0.7,1,0.8
612,124,2,0.45,2,1.55
613,159,2,0.45,4,0.3
614,26,1,0.5,4,1.45
615,173,4,0.95,0,0.15
616,21,4,0.1,4,0.85
617,67,3,1.45,1,0.65
618,58,0,0.15,1,0.15
619,82,4,1.25,1,0.15
620,136,1,0.9,3,1.65
621,160,4,1.7,3,1.95
622,161,1,0.3,0,0.25
623,71,2,1.75,2,1.6
624,183,4,1.95,0,0.9
625,192,4,1.45,3,1.8
626,19,2,1.25,0,0.95
627,66,3,1.7,4,0.6
628,24,0,0.6,0,0.45
629,172,2,1.35,1,0.2
630,59,4,0.8,1,0.75
631,140,4,0.45,4,0.5
632,44,1,0.15,1,1.0
633,76,0,0.2,0,0.8
634,101,4,0.5,0,0.85
635,140,0,0.7,2,1.45
636,137,0,0.55,3,1.1
637,189,3,1.4,2,1.9
638,96,0,0.6,1,0.85
639,19,2,0.3,2,0.4
640,165,1,0.2,0,0.4
641,52,2,0.65,0,0.65
642,134,1,0.25,0,0.25
643,199,0,0.75,1,0.8
644,7,2,1.9,3,1.5
645,8,0,0.35,4,0.05
646,171,2,1.05,0,0.85
647,57,1,0.3,1,1.0
648,88,0,0.15,1,0.25
649,79,2,0.25,4,1.6
650,7,1,0.55,0,0.35
651,15,3,1.75,0,0.95
652,79,1,0.8,4,0.2
653,91,2,0.65,1,0.35
654,191,0,0.75,4,1.25
655,14,1,0.65,3,1.7
656,45,1,0.7,0,0.45
657,87,2,0.75,1,1.0
658,62,1,0.8,2,1.25
659,194,4,0.75,1,0.4
660,17,0,0.2,4,0.4
661,127,0,0.9,4,0.15
662,59,1,0.4,2,0.95
663,50,2,1.05,3,1.6
664,79,4,0.1,3,1.2
665,185,1,0.4,1,0.55
666,134,4,0.7,2,1.65
667,163,3,1.2,2,1.45
668,171,2,1.4,3,1.5
669,121,3,1.15,4,1.4
670,20,4,0.45,0,0.95
671,162,1,0.85,1,0.9
672,175,2,0.25,3,1.6
673,38,4,0.85,1,0.5
674,96,4,0.55,4,0.1
675,22,2,1.1,0,0.05
676,62,0,0.7,0,0.55
677,141,3,1.65,0,0.85
678,111,1,0.25,1,0.45
679,9,0,0.1,2,0.55
680,184,2,1.25,4,0.25
681,60,1,0.65,0,0.35
682,148,3,1.4,0,0.8
683,46,4,1.95,2,1.75
684,104,0,0.25,0,0.3
685,182,4,1.2,4,1.65
686,193,3,1.7,0,0.95
687,54,1,0.6,3,1.45
688,130,2,0.4,0,0.95
689,47,0,0.25,2,1.4
690,32,3,1.9,4,1.55
691,137,1,0.8,2,0.95
692,19,3,1.3,2,0.4
693,92,2,0.35,1,0.35
694,124,0,0.7,0,0.3
695,31,4,0.65,0,0.45
696,116,4,2.0,0,0.35
697,35,2,0.45,3,1.7
698,34,4,1.35,4,0.65
699,106,3,1.8,0,0.5
700,159,0,0.3,3,1.65
701,85,0,0.75,0,0.7
702,125,0,0.35,3,1.15
703,123,0,0.1,2,1.45
704,18,4,1.7,2,1.3
705,66,2,1.45,2,1.3
706,64,3,1.85,0,0.05
707,197,4,1.65,1,0.3
708,20,3,1.2,4,0.05
709,30,0,0.45,0,0.25
710,159,0,0.4,1,1.0
711,2,3,1.8,2,0.15
712,134,4,1.35,2,1.2
713,164,0,0.15,2,1.95
714,90,0,0.75,1,0.4
715,188,3,1.35,1,0.95
716,14,3,1.9,4,1.15
717,27,2,1.15,0,0.1
718,106,1,0.9,1,0.95
719,121,1,0.85,1,0.45
720,79,4,1.3,4,0.1
721,58,2,1.35,0,0.15
722,193,4,0.6,2,0.45
723,132,1,0.1,4,1.35
724,153,4,1.55,2,0.1
725,84,1,0.4,4,0.65
726,75,0,1.0,1,0.8
727,120,1,0.35,1,0.9
728,77,2,1.0,3,1.5
729,121,2,1.85,1,0.3
730,96,4,1.0,0,0.05
731,8,3,1.5,1,0.75
732,99,4,1.95,4,0.8
733,119,0,0.2,1,0.55
734,161,3,1.55,2,1.6
735,149,2,1.25,2,0.45
736,189,2,0.45,4,1.95
737,5,1,0.15,4,0.35
738,140,1,0.95,1,0.5
739,60,3,1.15,3,1.8
740,118,2,1.5,3,1.95
741,172,1,0.25,0,0.05
742,194,0,0.75,4,1.7
743,120,0,0.1,0,0.5
744,170,2,0.55,2,0.2
745,94,4,1.45,0,0.95
746,61,0,0.75,0,0.5
747,120,2,1.15,0,0.45
748,166,4,0.05,2,1.9
749,59,0,0.5,2,1.9
750,108,2,0.7,0,0.65
751,63,1,0.4,0,0.95
752,89,4,0.8,0,1.0
753,35,2,1.5,0,0.05
754,193,1,0.45,1,0.75
755,140,4,1.9,4,0.9
756,194,0,0.15,3,1.15
757,24,2,1.15,3,1.35
758,116,2,1.9,0,0.1
759,166,4,1.8,3,1.95
760,191,2,0.35,1,0.85
761,6,2,0.65,1,0.65
762,104,1,0.65,4,0.4
763,49,0,0.05,2,1.25
764,116,0,0.4,4,0.05
765,93,4,1.9,3,1.85
766,77,4,1.8,3,1.5
767,163,0,0.9,1,0.7
768,163,1,0.6,0,0.8
769,50,2,0.85,1,0.05
770,55,3,1.05,1,1.0
771,74,2,0.55,4,0.1
772,129,1,0.35,2,0.9
773,28,2,0.7,1,0.95
774,133,3,1.9,2,1.7
775,45,3,1.15,0,0.95
776,19,0,0.5,0,0.2
777,41,3,1.4,4,1.6
778,2,0,0.45,0,1.0
779,88,4,0.25,0,0.45
780,50,0,0.2,4,1.9
781,14,1,0.25,1,0.35
782,40,0,0.05,1,0.3
783,32,3,1.3,2,0.2
784,145,0,0.1,2,0.8
785,48,2,0.15,3,1.25
786,1,2,0.1,4,0.45
787,54,1,0.3,0,0.2
788,66,4,0.8,4,0.15
789,110,1,0.25,0,0.7
790,161,3,1.2,2,0.5
791,60,2,0.3,2,1.35
792,59,0,0.3,4,0.65
793,70,1,0.1,4,0.65
794,181,1,0.1,0,0.05
795,15,3,1.05,4,1.95
796,10,2,0.1,3,1.95
797,79,4,1.25,4,0.05
798,89,3,1.95,3,1.1
799,81,3,1.4,1,0.6
800,85,0,0.75,4,1.05
801,3,1,0.75,4,0.25
802,36,3,1.25,4,0.85
803,185,0,0.75,0,0.15
804,49,0,0.15,1,0.4
805,115,0,1.0,1,0.55
806,112,3,2.0,1,0.95
807,180,0,0.35,3,1.45
808,66,2,0.05,1,0.1
809,100,1,0.5,2,0.4
810,90,0,0.65,0,0.6
811,73,1,0.2,4,1.8
812,172,0,0.85,0,0.65
813,20,0,0.6,4,1.3
814,182,1,0.45,1,0.35
815,100,3,1.2,2,1.6
816,57,0,0.75,3,1.85
817,132,2,0.75,2,0.9
818,6,1,0.25,2,1.2
819,54,4,0.55,3,1.35
820,135,0,0.7,0,0.85
821,127,2,1.7,1,0.4
822,47,2,1.65,1,0.5
823,90,1,0.6,2,0.15
824,161,3,1.35,2,1.9
825,104,4,1.75,2,1.05
826,45,2,0.1,3,1.8
827,143,3,1.4,2,1.85
828,184,1,0.45,1,0.85
829,141,4,0.25,3,1.65
830,177,2,1.05,4,0.05
831,10,4,1.0,2,1.3
832,88,2,0.35,0,0.8
833,117,0,0.8,2,1.15
834,179,3,1.05,2,0.3
835,199,1,0.4,3,1.5
836,136,4,0.45,2,0.55
837,26,2,1.15,2,0.9
838,14,0,0.95,2,1.95
839,67,0,0.35,2,0.3
840,149,4,1.65,3,1.95
841,159,4,0.45,2,0.8
842,40,4,1.65,2,1.3
843,195,2,1.95,4,0.75
844,37,1,1.0,3,1.8
845,96,1,0.95,1,0.3
846,97,0,0.3,4,1.9
847,167,0,0.65,4,1.4
848,79,4,0.85,0,0.75
849,5,4,0.85,3,1.2
850,190,3,1.25,0,0.65
851,154,2,0.3,1,0.3
852,145,1,1.0,4,1.6
853,24,1,0.35,0,0.05
854,127,1,0.3,4,0.65
855,147,1,0.5,4,1.25
856,180,0,0.4,1,0.5
857,136,4,1.75,4,1.55
858,66,0,0.25,1,0.15
859,149,2,1.4,2,0.55
860,87,4,1.2,4,1.75
861,175,2,0.5,2,0.45
862,148,0,0.1,0,0.8
863,38,0,0.05,2,1.4
864,194,4,1.25,4,0.55
865,7,0,0.8,2,0.95
866,41,2,0.05,0,0.75
867,154,3,1.1,1,0.05
868,130,2,0.75,4,0.35
869,128,0,0.7,2,1.3
870,124,1,0.25,0,0.7
871,174,4,1.05,0,0.85
